FID,IID,PS_PL1,PS_PL2,PS_PL3,PS_PL4,PS_PL5,PS_PL6,PS_PL7,PS_PL8,SM_PL9,SM_PL10,SM_PL11,SM_PL12,SM_PL14,SM_PL16,SM_PL18,SM_PL19,SM_PL21,SM_PL22,SM_PL24,SM_PL25,PE_PL26,PE_PL27,PE_PL28,PE_PL30,PE_PL31,PC_PL33,PC_PL34,PC_PL35,PC_PL36,PC_PL37,PC_PL38,PC_PL39,PC_PL40,PC_PL43,PC_PL44,PI_PL46,PI_PL47,PI_PL48,PI_PL49,PI_PL50,PI_PL51,LPC_PL52,LPC_PL53,LPC_PL55,LPC_PL56,LaCer_PL57,LaCer_PL58,LaCer_PL59,LaCer_PL60,LaCer_PL61,LaCer_PL62,LaCer_PL64,LaCer_PL66,Glucer_PL67,Glucer_PL69,Glucer_PL70
268,268,2616405,5572523,5655148,17704894,17594411,5621256,6886987,5703912,13561948,6804668,12725592,79097133,21146316,42328683,4557134,70029338,4401402,74571947,8167170,40397936,6839638,34453633,34500606,46366350,93034405,17295994,115007111,32485015,41029794,135310795,42020537,77630567,178168822,40309546,61678327,6891880,8770659,11575213,1421606,1915829,1632664,8888880,1678869,3003432,1601632,3290800,397757,727392,909269,1152850,2853441,3624023,2657548,810735,1092652,718175
306,306,1614771,3518622,3592076,11855949,12600828,4028998,5035697,3919084,8134401,3561247,7880476,39595875,10249116,23410591,2011608,30437741,2119250,32201627,2036969,16166989,5988694,28123834,20502088,35324612,61759235,35276740,125870213,38577555,41288893,108650483,29254774,42979737,119186633,25406097,42121852,4488627,5558922,6818699,744950,835041,682059,17087132,3006066,3944512,3409539,1208334,480730,1012605,1110949,1590977,2517999,3392929,1608712,983931,1010210,579498
269,269,1868422,3617829,5810961,18557419,16813665,5839522,6842876,6273860,12378666,5910684,8591126,48859086,25919196,45023972,4306970,57445927,3255295,49011306,3938793,26432635,5096864,24903074,23425928,41491118,79303897,29989079,130266488,27208313,43818590,106642850,31732188,53263545,141704486,36206476,60461898,4484691,8711761,11640508,1404177,2025183,1634998,9794846,1792439,2854493,2108016,1377271,815786,1945079,1585185,2386143,3584504,4095543,2366335,1446555,2137767,1284011
402,402,3415346,6000730,5219828,15727340,13932217,5548907,6511773,4498438,14531559,5968090,12516307,66669433,20963277,48092158,3933965,64158050,4234800,70275124,4253012,36064512,7800876,32908397,25522910,38348858,62583530,22174659,109531833,30118409,37059980,115576626,20622620,59140695,119566166,29565149,42297065,4835983,6628713,7267620,1192553,1485397,1269338,9450961,2300674,5420229,3308723,738192,594680,968979,1404518,1402867,2972624,4148174,1870868,979083,1121657,680746
365,365,2004366,4713842,4193539,14442055,14740968,5342284,6953102,7128115,10271033,4518051,10966692,59656284,13166850,33900073,2968441,47936790,3569712,59044325,3379989,28218038,6905411,26719722,26730701,33246258,68554417,23340920,105248670,36254998,37284075,106270617,17836512,44850839,124696897,26726348,45106327,4967395,6635180,7858102,1434705,2056901,1610948,6959990,1958568,3299774,2710667,1024009,600117,1025513,1540307,1703668,3399148,5277915,2256011,1116721,1266873,729476
270,270,1680910,3429914,5092770,14943542,14227548,4661312,5877612,4255628,13157828,5122991,9038401,52569556,23181384,43546740,3718652,51448460,3150989,47922432,3279492,24133879,5496632,27989709,23098146,40827126,72343989,21496819,111521396,24247301,37822993,97051976,32989526,56195039,123396713,34684313,46619428,4094475,7288461,7606385,1494808,1942603,1534056,5066479,1031700,2442333,1284220,890958,493462,810318,1070297,1068250,2276511,2779491,1263203,805548,1293633,743691
237,237,1914760,4146505,4620616,14317297,14748885,4195048,5370258,5399090,11862195,4436453,8688039,54934311,18825775,36347946,3429153,49537534,2687412,50120907,3752565,25574693,6650309,31146424,24193384,34685297,65856217,26575080,122424588,28904328,44723861,115328804,34453776,53592779,140854301,30680929,48964943,5503705,7807427,8678850,1077882,1398770,1145194,10333278,1730599,2733720,1989162,998779,722362,902326,1346542,1173369,3253383,3835529,1782675,962698,1256212,802937
238,238,2383118,4807465,5402058,15312265,14244379,4749841,5356542,5207484,13643008,5442983,10156628,59431076,23737397,46133937,4182275,62154891,3300701,61193496,4140177,31859825,8226205,38238241,28170281,46578378,78248521,37786456,148220174,34293170,50064090,125753684,39593715,65833195,135750246,33247103,42959272,6605492,9090118,8962323,1150860,1455791,1133419,13574606,2327575,3115939,2290663,709839,611287,1101075,1190655,1361641,2746805,3044656,1577263,1076367,1488381,951574
307,307,2054299,3758791,4407919,13630455,12239486,4648443,4939440,4197587,9052638,3639465,7684191,40143395,14834526,31512153,2957833,39781056,2740554,39302156,2784041,19752338,5135522,26384758,23144888,34578047,60958195,20529584,109004817,30003338,34315551,98511398,31556081,53839204,112762843,27232625,39187112,3944863,5899027,5868436,934875,1176068,964156,6208453,1341284,1937381,1020552,806711,487894,809128,1052683,1198766,2335893,3026496,1364120,1104620,1500113,900240
366,366,1600147,2599700,3796488,12305641,10190194,4341318,4888935,4000463,8960314,3616010,6899492,39361572,13691066,31388310,2765039,39461564,2497299,41590747,2765525,22317047,5132944,23984445,21768455,30047463,53598789,18712655,85560814,20083231,26963502,73036216,16362463,41547561,83735169,19568710,28638655,2421651,4599243,5094081,1083293,1496179,1250419,3484114,994216,2107377,1226565,860965,660760,1105051,1416499,1632138,2792717,3635379,1737531,1045918,1235714,715750
